"semestre_conclusao_minimo";"semestre_conclusao_ideal";"semestre_conclusao_maximo";"nome_matriz";"nome_curso";"codigo";"ch_total_minima";"ch_optativas_minima";"cr_total_minimo";"cr_maximo_semestre";"cr_ideal_semestre";"ano_entrada_vigor";"periodo_entrada_vigor";"ch_nao_atividade_obrigatoria";"cr_nao_atividade_obrigatorio";"ch_atividade_obrigatoria";"meses_conclusao_maximo";"meses_conclusao_ideal";"meses_conclusao_minimo";"observacao";"ch_minima_semestre";"ch_maxima_semestre";"ch_complementar_minima";
"8";"9";"14";"COMUNICAÇÃO SOCIAL - NATAL - JORNALISMO - T - BACHARELADO";"COMUNICAÇÃO SOCIAL";"03";"2715";"450";"136";"99";"98";"2005";"1";"2040";"136";"225";"";"";"";"";"15";"0";"0";
"36";"36";"36";"";"RESIDÊNCIA MÉDICA EM PATOLOGIA";"PAT0123";"6531";"576";"0";"";"";"2015";"1";"1260";"0";"4695";"";"";"";"";"2880";"";"";
"33";"36";"42";"";"RESIDÊNCIA MÉDICA EM NEUROLOGIA";"RMNRL";"7888";"0";"0";"";"";"2016";"1";"0";"0";"7888";"";"";"";"";"0";"";"";
"24";"24";"36";"";"RESIDÊNCIA MÉDICA EM NEONATOLOGIA";"neo";"720";"240";"0";"";"";"1983";"1";"0";"0";"480";"";"";"";"";"2880";"";"";
"24";"24";"32";"";"RESIDÊNCIA MÉDICA EM ENDOCRINOLOGIA";"108";"5616";"0";"0";"";"";"2006";"1";"0";"0";"5616";"";"";"";"";"0";"";"";
"6";"6";"6";"";"RESIDÊNCIA MÉDICA EM INFECTOLOGIA";"INF16.2";"351";"144";"5";"";"";"2016";"2";"75";"5";"132";"";"";"";"";"1440";"";"";
"6";"6";"6";"";"RESIDÊNCIA MÉDICA EM INFECTOLOGIA";"INFR2";"351";"144";"5";"";"";"2016";"2";"75";"5";"132";"";"";"";"";"1440";"";"";
"6";"6";"6";"";"RESIDÊNCIA MÉDICA EM INFECTOLOGIA";"INFR3";"351";"144";"5";"";"";"2016";"2";"75";"5";"132";"";"";"";"";"1440";"";"";
"24";"24";"30";"";"RESIDÊNCIA EM ATENÇÃO BÁSICA/RESATBAS/EMCM";"AB2017";"4225";"0";"0";"";"";"2017";"1";"2113";"0";"2112";"";"";"";"";"0";"";"";
"24";"24";"24";"";"RESIDÊNCIA EM ASSISTÊNCIA MATERNO-INFANTIL";"ami15";"5670";"210";"0";"";"";"2015";"1";"687";"0";"4773";"";"";"";"";"60";"";"";
"24";"24";"30";"";"RESIDÊNCIA EM ATENÇÃO À SAÚDE DA CRIANÇA";"ASC0200";"5640";"322";"0";"";"";"2014";"1";"710";"0";"4608";"";"";"";"";"0";"";"";
"24";"24";"24";"";"RESIDÊNCIA EM SAÚDE MATERNO-INFANTIL/RESSMI/EMCM";"RMI2017";"1295";"0";"0";"";"";"2017";"1";"1015";"0";"252";"";"";"";"";"0";"";"";
"24";"24";"28";"";"RESIDÊNCIA EM TERAPIA INTENSIVA NEONATAL";"TIN05";"5098";"0";"0";"";"";"2017";"1";"750";"0";"4348";"";"";"";"";"0";"";"";
