"semestre_conclusao_minimo";"semestre_conclusao_ideal";"semestre_conclusao_maximo";"nome_matriz";"nome_curso";"codigo";"ch_total_minima";"ch_optativas_minima";"cr_total_minimo";"cr_maximo_semestre";"cr_ideal_semestre";"ano_entrada_vigor";"periodo_entrada_vigor";"ch_nao_atividade_obrigatoria";"cr_nao_atividade_obrigatorio";"ch_atividade_obrigatoria";"meses_conclusao_maximo";"meses_conclusao_ideal";"meses_conclusao_minimo";"observacao";"ch_minima_semestre";"ch_maxima_semestre";"ch_complementar_minima";
"8";"8";"12";"QUÍMICA DO PETRÓLEO - NATAL - MT - BACHARELADO";"QUÍMICA DO PETRÓLEO";"01B";"3085";"180";"173";"30";"26";"2011";"1";"2595";"173";"310";"";"";"";"";"180";"0";"0";
"12";"24";"30";"";"MESTRADO EM CIÊNCIAS DA SAÚDE";"02";"360";"360";"24";"36";"12";"2007";"1";"0";"0";"0";"30";"24";"12";"";"0";"";"";
"24";"48";"60";"";"DOUTORADO EM CIÊNCIAS DA SAÚDE";"02";"0";"0";"0";"36";"12";"2007";"1";"0";"0";"0";"60";"48";"24";"";"1";"";"";
"18";"24";"24";"";"MESTRADO PROFISSIONAL EM ENSINO NA SAÚDE";"001";"360";"105";"7";"24";"12";"2013";"1";"255";"0";"0";"24";"24";"18";"";"0";"";"";
"24";"48";"60";"";"DOUTORADO EM CIENCIAS CONTABEIS (UNB-UFRN-UFPB)";"02";"540";"345";"36";"30";"12";"2009";"1";"195";"13";"0";"60";"48";"24";"";"0";"";"";
"12";"24";"30";"";"ZZZ MEST";"01";"0";"0";"0";"30";"12";"2009";"1";"0";"0";"0";"30";"24";"12";"";"1";"";"";
"12";"24";"30";"";"MESTRADO EM ENGENHARIA ELÉTRICA E DE COMPUTAÇÃO";"7";"360";"360";"24";"20";"12";"2009";"2";"0";"0";"0";"30";"24";"12";"";"0";"";"";
"1";"1";"1";"";"PRÓ-REITORIA DE PÓS-GRADUAÇÃO";"PPGufrn";"1";"1";"0";"1";"1";"2012";"1";"0";"0";"0";"1";"1";"1";"";"1";"";"";
"24";"48";"60";"";"DOUTORADO EM ENGENHARIA ELÉTRICA E DE COMPUTAÇÃO";"10";"360";"360";"24";"20";"12";"2009";"2";"0";"0";"0";"60";"48";"24";"";"0";"";"";
"8";"8";"12";"TURISMO - NATAL - T - BACHARELADO";"TURISMO";"02";"2865";"300";"136";"32";"24";"2016";"1";"2040";"136";"375";"";"";"";"";"15";"0";"150";
"8";"9";"12";"JORNALISMO - NATAL - T";"JORNALISMO";"01";"3000";"420";"132";"";"";"2017";"1";"1980";"132";"300";"";"";"";"";"60";"420";"300";
"10";"10";"15";"ENGENHARIA CIVIL - NATAL - MTN - FORMAÇÃO";"ENGENHARIA CIVIL";"04A";"3915";"393";"206";"42";"30";"2016";"1";"3090";"206";"235";"";"";"";"";"300";"450";"197";
"8";"8";"12";"LETRAS - NATAL - LINGUA PORTUGUESA - I - LICENCIATURA";"LETRAS";"01";"2970";"0";"168";"46";"22";"2011";"1";"2370";"168";"600";"";"";"";"";"15";"0";"0";
"12";"24";"30";"";"MESTRADO EM BIOLOGIA ESTRUTURAL E FUNCIONAL";"BEF2013";"390";"180";"12";"20";"12";"2013";"1";"210";"0";"0";"30";"24";"12";"";"0";"";"";
"24";"48";"54";"";"DOUTORADO EM ARQUITETURA E URBANISMO";"ARQ14D";"180";"90";"12";"24";"12";"2014";"1";"90";"6";"0";"54";"48";"24";"";"0";"";"";
"12";"24";"30";"";"MESTRADO EM ARQUITETURA E URBANISMO";"ARQ14M";"315";"225";"21";"24";"12";"2014";"1";"90";"6";"0";"30";"24";"12";"";"0";"";"";
"12";"24";"30";"";"MESTRADO EM NUTRIÇÃO";"nut01";"300";"165";"20";"20";"12";"2014";"2";"135";"9";"0";"30";"24";"12";"";"0";"";"";
"24";"48";"60";"";"DOUTORADO EM GEOGRAFIA";"D-01";"540";"330";"36";"24";"12";"2013";"1";"210";"14";"0";"60";"48";"24";"";"0";"";"";
"6";"6";"9";"GESTÃO DE POLÍTICAS PÚBLICAS - NATAL - T - BACHARELADO";"GESTÃO DE POLÍTICAS PÚBLICAS";"01D";"2410";"1215";"0";"30";"22";"2014";"2";"0";"0";"795";"";"";"";"";"150";"0";"400";
"5";"5";"6";"LETRAS - - NATAL - INGLES - T - LICENCIATURA";"LETRAS -";"02A";"1340";"120";"68";"99";"99";"2011";"2";"1020";"68";"200";"";"";"";"";"15";"";"";
"10";"10";"14";"ENGENHARIA DE AQUICULTURA - NATAL - MT - BACHARELADO";"ENGENHARIA DE AQUICULTURA";"01";"3630";"240";"180";"32";"24";"2011";"1";"2700";"180";"690";"";"";"";"";"240";"0";"0";
"1";"8";"8";"CIÊNCIAS CONTÁBEIS PARA AS ORGANIZAÇÕES SOCIAIS E COOPERATIVAS - NATAL - I - BACHARELADO";"CIÊNCIAS CONTÁBEIS PARA AS ORGANIZAÇÕES SOCIAIS E COOPERATIVAS";"01";"2970";"0";"168";"28";"24";"2008";"2";"2520";"168";"450";"";"";"";"";"";"";"";
"12";"24";"30";"";"MESTRADO EM CIÊNCIA E ENGENHARIA DE MATERIAIS";"MEST11";"360";"90";"24";"16";"12";"2011";"1";"270";"18";"0";"30";"24";"12";"";"1";"";"";
"24";"48";"60";"";"DOUTORADO EM CIÊNCIAS SOCIAIS";"03";"240";"180";"16";"99";"8";"2004";"1";"60";"4";"0";"60";"48";"24";"";"0";"";"";
"9";"9";"14";"PEDAGOGIA - CAICÓ - M - LICENCIATURA";"PEDAGOGIA";"01A";"3250";"180";"172";"30";"25";"2008";"1";"2580";"172";"490";"";"";"";"";"90";"0";"0";
"12";"24";"30";"";"MESTRADO EM CIENCIAS CONTABEIS (UNB-UFRN-UFPB)";"03";"405";"210";"27";"24";"12";"2008";"1";"195";"13";"0";"30";"24";"12";"";"1";"";"";
"8";"8";"12";"LETRAS - LÍNGUA PORTUGUESA - CURRAIS NOVOS - TN - LICENCIATURA";"LETRAS";"01B";"2910";"105";"147";"99";"98";"2011";"1";"2205";"147";"600";"";"";"";"";"15";"0";"0";
"12";"24";"30";"";"MESTRADO EM ARTES CÊNICAS";"01";"180";"0";"12";"24";"8";"2008";"1";"180";"12";"0";"30";"24";"12";"";"0";"";"";
"12";"24";"30";"";"MESTRADO EM PATOLOGIA ORAL";"MEST1";"420";"0";"28";"36";"12";"2012";"1";"420";"28";"0";"30";"24";"12";"";"1";"";"";
"10";"11";"15";"ENGENHARIA MECÂNICA - NATAL - N - FORMAÇÃO";"ENGENHARIA MECÂNICA";"02";"3850";"390";"0";"29";"23";"2015";"2";"3030";"0";"220";"";"";"";"";"260";"0";"210";
"8";"8";"12";"PEDAGOGIA - NATAL - I - LICENCIATURA";"PEDAGOGIA";"01A";"3215";"0";"177";"30";"20";"2014";"1";"2655";"177";"560";"";"";"";"";"15";"0";"0";
"12";"24";"30";"";"MESTRADO EM BIOLOGIA PARASITÁRIA";"BPA1";"420";"90";"28";"24";"12";"2013";"2";"330";"22";"0";"30";"24";"12";"";"1";"";"";
"6";"7";"10";"TECNOLOGIA DA INFORMAÇÃO - NATAL - MT - BACHARELADO";"TECNOLOGIA DA INFORMAÇÃO";"02";"2600";"300";"36";"32";"28";"2014";"1";"2160";"36";"0";"";"";"";"";"30";"0";"140";
"42";"48";"54";"";"DOUTORADO EM SERVIÇO SOCIAL";"D001";"540";"210";"18";"";"";"2016";"1";"330";"4";"0";"54";"48";"42";"";"0";"";"";
"12";"24";"30";"";"MESTRADO EM SAÚDE COLETIVA";"MEST";"270";"270";"18";"30";"15";"2011";"1";"0";"0";"0";"30";"24";"12";"";"1";"";"";
"10";"10";"14";"ADMINISTRAÇÃO - NATAL - N - BACHARELADO";"ADMINISTRAÇÃO";"04A";"3075";"300";"165";"30";"20";"2009";"1";"2595";"165";"180";"";"";"";"";"15";"0";"0";
"10";"10";"15";"ENGENHARIA DE PRODUÇÃO - NATAL - T - FORMAÇÃO";"ENGENHARIA DE PRODUÇÃO";"01A";"3915";"390";"207";"32";"26";"2011";"1";"3105";"207";"420";"";"";"";"";"30";"0";"0";
"12";"24";"30";"";"MESTRADO EM ADMINISTRAÇÃO";"M2013";"360";"210";"24";"24";"12";"2013";"1";"150";"10";"0";"30";"24";"12";"";"1";"";"";
"24";"36";"48";"";"DOUTORADO EM ENSINO DE CIÊNCIAS E MATEMÁTICA";"dout15";"360";"90";"24";"20";"12";"2015";"2";"270";"18";"0";"48";"36";"24";"";"1";"";"";
"8";"8";"12";"GESTÃO EM SISTEMAS E SERVIÇOS DE SAÚDE - NATAL - N - BACHARELADO";"GESTÃO EM SISTEMAS E SERVIÇOS DE SAÚDE";"01A";"2910";"180";"44";"99";"98";"2011";"1";"2115";"44";"615";"";"";"";"";"15";"0";"0";
"12";"24";"36";"";"MESTRADO EM DEMOGRAFIA";"01";"301";"1";"0";"24";"8";"2011";"1";"300";"0";"0";"36";"24";"12";"";"1";"";"";
"8";"8";"14";"GEOGRAFIA - CAICÓ - MT - LICENCIATURA";"GEOGRAFIA";"07";"2870";"180";"139";"30";"21";"2012";"1";"2085";"139";"605";"";"";"";"";"15";"0";"0";
"7";"7";"10";"CIÊNCIAS E TECNOLOGIA - NATAL - MT - BACHARELADO";"CIÊNCIAS E TECNOLOGIA";"02";"2400";"240";"32";"42";"24";"2016";"1";"2040";"32";"0";"";"";"";"";"60";"0";"120";
"18";"24";"30";"";"MESTRADO PROFISSIONAL EM ENGENHARIA DE SOFTWARE";"ES-01";"360";"180";"24";"24";"12";"2013";"2";"180";"12";"0";"30";"24";"18";"";"0";"";"";
"12";"24";"30";"";"MESTRADO EM FILOSOFIA";"MFIL15";"270";"240";"16";"30";"24";"2015";"2";"30";"0";"0";"30";"24";"12";"";"0";"";"";
"8";"8";"14";"HISTÓRIA - CAICÓ - N - LICENCIATURA";"HISTÓRIA";"01";"3000";"420";"132";"28";"24";"2013";"1";"1980";"132";"600";"";"";"";"";"60";"0";"0";
"12";"12";"18";"ENGENHARIA DE PRODUÇÃO - NATAL - N - FORMAÇÃO";"ENGENHARIA DE PRODUÇÃO";"01A";"3915";"390";"207";"30";"20";"2011";"1";"3105";"207";"420";"";"";"";"";"60";"0";"0";
"12";"24";"30";"";"MESTRADO PROFISSIONAL EM ENSINO DE HISTÓRIA - PROFHISTORIA";"PHIST01";"420";"210";"14";"24";"16";"2015";"2";"210";"0";"0";"30";"24";"12";"";"1";"";"";
"12";"24";"30";"";"MESTRADO PROFISSIONAL EM GEOGRAFIA";"GEOP1";"60";"0";"4";"24";"12";"2015";"1";"60";"4";"0";"30";"24";"12";"";"0";"";"";
"8";"8";"14";"GEOGRAFIA - CAICÓ - N - BACHARELADO";"GEOGRAFIA";"08";"2405";"180";"115";"30";"21";"2012";"1";"1725";"115";"500";"";"";"";"";"15";"0";"0";
